Selectivity,DirectScan(ms),IndexScan(ms),Ratio
0.001,1558,32,48.6875
0.01,569,33,17.242424242424242
0.05,578,55,10.50909090909091
0.1,824,50,16.48
0.2,762,58,13.137931034482758
